Date,Open,High,Low,Close,Change(Pips),Change(%)
05-02-2023 18:00,0.66665,0.66666,0.66607,0.66628,-3.7,-0.06
05-02-2023 17:00,0.66705,0.66731,0.66666,0.66666,-3.9,-0.06
05-02-2023 16:00,0.66688,0.66709,0.66645,0.66705,1.7,0.03
05-02-2023 15:00,0.66618,0.66698,0.66579,0.66693,7.5,0.11
05-02-2023 14:00,0.66806,0.66932,0.66577,0.66611,-19.5,-0.29
05-02-2023 13:00,0.66848,0.66895,0.66798,0.66807,-4.1,-0.06
05-02-2023 12:00,0.67012,0.67013,0.66853,0.66853,-15.9,-0.24
05-02-2023 11:00,0.66862,0.67046,0.66859,0.6701,14.8,0.22
05-02-2023 10:00,0.66875,0.66912,0.66832,0.66861,-1.4,-0.02
05-02-2023 09:00,0.66948,0.67002,0.66871,0.66879,-6.9,-0.1
05-02-2023 08:00,0.67012,0.67018,0.66897,0.66942,-7,-0.1
05-02-2023 07:00,0.67116,0.67155,0.67003,0.67013,-10.3,-0.15
05-02-2023 06:00,0.6703,0.6717,0.66943,0.67117,8.7,0.13
05-02-2023 05:00,0.6694,0.671,0.6694,0.67038,9.8,0.15
05-02-2023 04:00,0.66296,0.66984,0.66262,0.6694,64.4,0.96
05-02-2023 03:00,0.66333,0.66349,0.66284,0.66294,-3.9,-0.06
05-02-2023 02:00,0.66339,0.66349,0.66291,0.66333,-0.6,-0.01
05-02-2023 01:00,0.6622,0.66417,0.66215,0.66338,11.8,0.18
05-02-2023 00:00,0.66225,0.66326,0.66206,0.66219,-0.6,-0.01
05-01-2023 23:00,0.66287,0.66304,0.66222,0.66227,-6,-0.09
05-01-2023 22:00,0.66274,0.66312,0.66271,0.66283,0.9,0.01
05-01-2023 21:00,0.66264,0.66299,0.66243,0.66277,1.3,0.02
05-01-2023 20:00,0.66281,0.66307,0.66279,0.663,1.9,0.03
05-01-2023 19:00,0.66304,0.66304,0.66248,0.66287,-1.7,-0.03
05-01-2023 18:00,0.66361,0.66372,0.66274,0.66304,-5.7,-0.09
05-01-2023 17:00,0.66359,0.66374,0.66313,0.66358,-0.1,0
05-01-2023 16:00,0.6635,0.66382,0.66311,0.66358,0.8,0.01
05-01-2023 15:00,0.66482,0.66492,0.6631,0.66351,-13.1,-0.2
05-01-2023 14:00,0.66513,0.66573,0.66441,0.66479,-3.4,-0.05
05-01-2023 13:00,0.66606,0.66681,0.66571,0.66607,0.1,0
05-01-2023 12:00,0.66353,0.66611,0.66338,0.66605,25.2,0.38
05-01-2023 11:00,0.66413,0.66428,0.66335,0.66357,-5.6,-0.08
05-01-2023 10:00,0.66376,0.66418,0.66357,0.6641,3.4,0.05
05-01-2023 09:00,0.66355,0.66403,0.66341,0.66377,2.2,0.03
05-01-2023 08:00,0.66383,0.66395,0.66328,0.66352,-3.1,-0.05
05-01-2023 07:00,0.66387,0.6645,0.66363,0.66387,0,0
05-01-2023 06:00,0.66401,0.66419,0.66339,0.66384,-1.7,-0.03
05-01-2023 05:00,0.66351,0.66413,0.66336,0.66402,5.1,0.08
